Facility Name,latitude,longitude,active
"Xichang Satellite Launch Centre, China",28.2,102,
"Svobodny Cosmodrome (rebuilt as Vostochny), Russia",51.8,128.4,
"Kagoshima (Uchinoura Space Centre), Japan",31.2,131.1,
"Gando Air Force Base, Spain",27.6,-15.2,
"Sriharikota (Satish Dhawan Space Centre), India",13.9,80.4,
"Alcantara Launch Centre, Brazil",-2.3,-44.4,
Sea Launch Odyssey - Equatorial Pacific,0,-154,
"Musudan-Ri Missile Test Site, N. Korea",40.855,129.665,
"Kwajalein Missile Range, Marshall Islands",19.5,-166.1,
"Kodiak Island (Pacific Spaceport Complex), Alaska",57.6,-152.2,
"Woomera Test Range, Australia",-31.1,136.6,
"Barents Sea Test Range, Russia",69.3,35.3,
"San Marco Platform, Kenyan Coastal Waters",-2.9,40.3,
"Hammaguir Air Base, Algeria",30.9,-3.1,
,,,
"Naval Air Weapons Station China Lake, California",36.94,-117.68,
"Mojave Air and Space Port, California",35.05,-118.16,
"Emamshahr Military Test Range (Qom), Iran",36.41,55.016,
Yasnyy (Dombarovsky),50.9,60,
"Vostochny Cosmodrome (rebuilt Svobodny), Russia",51.816,128.15,
"Naro Space Centre, S. Korea",34.43,127.535,
"Wenchang Satellite Launch Centre, Hainan Island",19.567,110.867,
"Khomeini Space Centre - Semnan, Iran",35.24,53.92,
"Al Anbar Test Centre, Iraq",32.78,44.3,
"Spaceport Nexoe, Bornholm Island, Denmark",55.16,15.45,
Sinnamary - Guiana Space Centre,5.302,-52.835,
Barking Sands (Pacific Missile Range Facility),22.023,-159.785,
Moon,,,
"Sohae (Tongchang-Ri), N. Korea",39.77,124.67,
"Cecil Airport, Florida",30.22,-81.876,
"Boca Chica Beach, Brownsville, Texas",26,-97,
"Van Horn, Texas",31.05,-104.78,
"Kaitorete Spit, Birdlings Flat, New Zealand",-43.81,172.6,
"Onenui Station, Mahia Peninsula, North Island, NZ",-39.26,177.86,
"Canso-Hazel Hill, Novia Scotia, Canada",45.32,-61.03,
"Chongqing Liangjiang, China",29,107,
Haikou Space and Sub-Orbital Launch Centre.,41.27,100.29,
"El Hierro, Canary Islands",,,
Canary Islands,,,
Semnan - Iran,,,
"Sutherland Space Port, Scotland, UK",,,
"Camden, Georgia, USA",,,
China (Unknown),,,
Tai Rui Platform -Yellow Sea,,,
Guam International Airport,,,
"Nantian, Taiwan",22.26,120.89,
"Shahroud, Dasht-e Kavir desert, Iran",55.33,36.2,
"Negev Desert, Israel",,,
"Yavne, Negev Desert",,,
"Santa Maria Island, Azores, Portugal",36.97536949327306, -25.154429999188427,
Wendover Air Force Base,40.43,114.01,
"Be Do 3 Barge, Yellow Sea",,,
"Spaceport America, New Mexico",32.99,-106.97,
"Svalbard Rocket Range, Norway",,,
"Unst, Shetland Isles, UK",,,
"Johnson Island, Pacific",16.75,-169.5,
AndÃ¸ya Spaceport,,,
"Abbot Point, Queensland, Australia",,,
"Whalers Way Orbital Launch Complex, S. Australia",-34.91,135.65,
